City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,santa terezinha,-29.9002,-50.0904,22.5,68,59,5.01,BR,1707995444
148,bolobo,-2.1667,16.2333,34.4,42,95,1.86,CD,1707995201
149,hilo,19.7297,-155.09,21.25,89,0,2.06,US,1707995445
150,alo,7.4178,6.7371,38.12,25,43,2.49,NG,1707995445
151,vikulovo,56.8167,70.6107,-21.66,89,100,5.78,RU,1707995446
152,oriximina,-1.7656,-55.8661,24.04,94,44,1.13,BR,1707995446
153,north bay,46.3168,-79.4663,-7.25,74,92,2.23,CA,1707995447
154,cooma,-36.2333,149.1333,13.8,96,57,1.68,AU,1707995448
155,nizao,18.25,-70.2,23.59,85,20,4.37,DO,1707995448
156,katsuura,35.1333,140.3,16.25,74,92,12.1,JP,1707995348
157,brande,55.9381,9.1218,8.09,99,100,3.21,DK,1707995449
158,launceston,-41.45,147.1667,16.2,77,59,5.14,AU,1707995407
159,newman,37.3138,-121.0208,11.13,93,98,0.89,US,1707995450
160,kerikeri,-35.2268,173.9474,18.28,89,4,0.89,NZ,1707995444
161,cill airne,52.05,-9.5167,11.03,100,100,3.6,IE,1707995451
162,coxen hole,16.3244,-86.5366,25.71,79,57,5.69,HN,1707995452
163,afaahiti,-17.75,-149.2833,24.93,79,93,7.43,PF,1707995453
164,tolanaro,-25.0319,46.9987,25.68,83,100,4.12,MG,1707995453
165,kangding,30.0513,101.9603,0.36,94,100,1.84,CN,1707995454
166,bandarbeyla,9.4942,50.8122,27.69,63,25,7.46,SO,1707995455
167,braganca,-1.0536,-46.7656,25.6,94,96,1.56,BR,1707995455
168,chul'man,56.8479,124.9104,-36.46,100,56,1.24,RU,1707995455
169,albany,42.6001,-73.9662,-6.31,61,2,3.13,US,1707995456
170,ottawa,45.4112,-75.6981,-10.01,77,25,1.16,CA,1707995158
171,port mathurin,-19.6833,63.4167,27.67,83,97,8.81,MU,1707995456
172,ouani,-12.1322,44.4258,28.32,81,92,7.17,KM,1707995457
173,gorontalo,0.5412,123.0595,25.64,90,59,1.04,ID,1707995458
174,santa marta de ortigueira,43.6833,-7.85,17.36,78,100,2.68,ES,1707995459
175,tura,25.5198,90.2201,24.7,41,5,2.3,IN,1707995218
176,fort mcmurray,56.7268,-111.381,-23.23,100,94,1.03,CA,1707995459
177,mount isa,-20.7333,139.5,26.87,78,40,3.09,AU,1707995460
178,safotu,-13.4513,-172.4018,28.18,87,100,8.19,WS,1707995460
179,falam,22.9167,93.6833,18.46,47,96,0.64,MM,1707995253
180,ondangwa,-17.9167,15.95,33.35,24,16,2.5,NA,1707995462
181,kroya,-7.6331,109.2461,28.17,81,90,2.47,ID,1707995463
182,santa catalina,9.3337,122.8637,26.78,77,13,2.69,PH,1707995294
183,karimpur,23.9667,88.6167,29.01,39,17,1.41,IN,1707995463
184,puerto baquerizo moreno,-0.9,-89.6,26.59,80,78,4.6,EC,1707995464
185,haapajarvi,63.75,25.3333,-6.42,94,97,3.54,FI,1707995465
186,papao,-17.75,-149.55,25.82,72,81,7.09,PF,1707995467
187,ribeira grande,38.5167,-28.7,18.22,88,75,11.18,PT,1707995468
188,sandusky,41.3501,-83.1332,-0.02,76,100,2.68,US,1707995469
189,markovo,57.3206,107.0881,-11.73,97,99,2.34,RU,1707995469
190,verkhnevilyuysk,63.4453,120.3167,-36.97,100,97,0.78,RU,1707995470
191,iskateley,67.6803,53.1512,-21.66,88,100,4.02,RU,1707995472
192,howrah,22.5892,88.3103,27.0,65,20,1.54,IN,1707995473
193,ulety,51.3572,112.4849,-15.01,94,100,1.32,RU,1707995473
194,sinop,41.7711,34.8709,6.24,91,100,1.59,TR,1707995473
195,gandajika,-6.75,23.95,23.61,81,99,1.18,CD,1707995474
196,kyzyl,51.7,94.45,-12.77,82,100,0.45,RU,1707995474
197,nova sintra,14.8667,-24.7167,20.41,79,1,10.6,CV,1707995475
198,sosnovo-ozerskoye,52.5249,111.5418,-16.04,93,100,2.34,RU,1707995475
199,new norfolk,-42.7826,147.0587,17.72,82,15,1.4,AU,1707995476
200,alofi,-19.0595,-169.9187,26.57,81,98,13.27,NU,1707995476
201,bhamo,24.2667,97.2333,25.02,40,100,0.85,MM,1707995477
202,qui nhon,13.7667,109.2333,24.0,92,93,3.71,VN,1707995083
203,ta`u,-14.2336,-169.5144,27.37,86,100,5.76,AS,1707995478
204,guerrero negro,27.9769,-114.0611,13.8,84,93,4.32,MX,1707995479
205,ebon,4.582,168.6964,27.97,76,99,9.42,MH,1707995479
206,uklana,29.5167,75.8667,27.52,11,0,2.56,IN,1707995480
207,astrakhan,46.3497,48.0408,-2.07,80,75,9.0,RU,1707995480
208,lisala,2.15,21.5167,40.94,18,51,1.05,CD,1707995480
209,remire-montjoly,4.9167,-52.2667,27.02,83,40,0.0,GF,1707995481
210,brisas de zicatela,15.8369,-97.0419,24.84,76,30,1.1,MX,1707995481
211,coronel suarez,-37.4547,-61.9334,13.9,69,0,3.38,AR,1707995482
212,rexburg,43.826,-111.7897,1.97,84,100,5.14,US,1707995482
213,cockburn town,21.4612,-71.1419,24.79,72,34,3.18,TC,1707995482
214,port alfred,-33.5906,26.891,21.21,83,100,3.58,ZA,1707995483
215,palembang,-2.9167,104.7458,26.05,94,75,2.57,ID,1707995241
216,talnakh,69.4865,88.3972,-22.11,91,98,4.57,RU,1707995484
217,touros,-5.1989,-35.4608,28.29,72,94,2.84,BR,1707995485
218,beyneu,45.3167,55.2,1.65,60,99,9.35,KZ,1707995485
219,saldanha,-33.0117,17.9442,19.36,60,3,8.49,ZA,1707995485
220,pauls valley,34.7401,-97.2223,8.86,93,0,0.0,US,1707995486
221,bellegarde-sur-valserine,46.1079,5.8242,12.97,56,100,1.18,FR,1707995486
222,pisco,-13.7,-76.2167,22.03,83,88,3.6,PE,1707995487
223,kununurra,-15.7667,128.7333,30.99,79,41,1.54,AU,1707995488
224,sinaloa de leyva,25.8333,-108.2333,16.0,51,100,0.24,MX,1707995489
225,andergrove,-21.0833,149.1833,25.36,82,100,5.92,AU,1707995489
226,severo-yeniseyskiy,60.3725,93.0408,-21.9,94,100,4.02,RU,1707995491
227,neon karlovasion,37.7903,26.7044,12.87,80,100,7.63,GR,1707995492
228,arraial do cabo,-22.9661,-42.0278,24.92,94,75,2.06,BR,1707995469
229,polyarnyy,69.1989,33.4478,-12.2,85,100,8.7,RU,1707995492
230,cole harbour,44.6724,-63.4751,-3.43,86,100,5.81,CA,1707995493
231,bajil,15.0584,43.2851,33.92,40,59,6.35,YE,1707995494
232,sai buri,6.7013,101.6168,27.01,76,57,4.71,TH,1707995495
233,arkhangel'sk,64.5401,40.5433,-17.72,70,0,5.0,RU,1707995495
234,keflavik,64.0049,-22.5624,1.24,86,75,1.03,IS,1707995496
235,bamboo flat,11.7,92.7167,30.05,70,20,4.63,IN,1707995496
236,inirida,3.8653,-67.9239,23.08,95,94,0.29,CO,1707995497
237,saudarkrokur,65.7461,-19.6394,-5.93,95,100,0.83,IS,1707995498
238,yoloten,37.2989,62.3597,25.9,12,4,3.08,TM,1707995499
239,tarko-sale,64.9225,77.785,-24.43,92,31,6.99,RU,1707995499
240,ain sukhna,29.6002,32.3167,18.3,39,35,8.07,EG,1707995499
241,hithadhoo,-0.6,73.0833,28.59,77,37,6.89,MV,1707995500
242,weno,7.4515,151.8468,27.55,81,100,10.4,FM,1707995501
243,maxixe,-23.8597,35.3472,32.93,51,2,5.03,MZ,1707995285
244,sinabang,2.4803,96.3801,29.01,77,76,1.75,ID,1707995502
245,benghazi,32.1167,20.0667,15.64,60,91,10.25,LY,1707995279
246,kasane,-17.8167,25.15,37.03,14,3,1.57,BW,1707995503
247,zhaotong,27.3167,103.7167,4.96,58,96,3.61,CN,1707995503
248,lycksele,64.5954,18.6735,-5.07,93,100,0.51,SE,1707995504
249,puerto ayacucho,5.6639,-67.6236,24.4,91,99,1.87,VE,1707995504
250,campbell river,50.0163,-125.2446,0.25,57,1,2.73,CA,1707995505
251,beloyarskiy,63.7119,66.6722,-20.56,90,100,3.13,RU,1707995506
252,fort st. john,56.2499,-120.8529,-6.53,56,8,1.52,CA,1707995506
253,soio,-6.1349,12.3689,30.02,69,93,2.11,AO,1707995507
254,brasileia,-11.0161,-68.7481,24.25,100,75,0.0,BR,1707995507
255,lively,46.4334,-81.1498,-6.66,91,100,3.26,CA,1707995508
256,villa de cos,23.2833,-102.35,11.12,79,100,2.31,MX,1707995508
257,thinadhoo,0.5333,72.9333,28.37,79,34,7.08,MV,1707995509
258,chimore,-16.9833,-65.1333,21.91,94,100,0.6,BO,1707995509
259,klaksvik,62.2266,-6.589,3.51,70,97,7.05,FO,1707995509
260,yeniseysk,58.4497,92.1703,-18.76,93,100,4.06,RU,1707995510
261,nyurba,63.2842,118.3319,-39.27,100,85,0.72,RU,1707995511
262,hanak,41.2336,42.8472,2.18,99,100,2.2,TR,1707995511
263,hermanus,-34.4187,19.2345,21.0,63,58,10.76,ZA,1707995512
264,tongliao,43.6125,122.2653,-9.69,69,2,2.34,CN,1707995463
265,muniz,26.2565,-98.0894,21.01,89,100,1.54,US,1707995512
266,broome,42.2506,-75.833,-5.21,87,20,0.45,US,1707995513
267,patterson,37.4716,-121.1297,10.99,93,89,0.49,US,1707995513
268,richfield,44.8833,-93.283,-5.79,87,0,6.17,US,1707995514
269,masterton,-40.9597,175.6575,18.39,82,19,1.38,NZ,1707995453
270,paita,-5.0892,-81.1144,25.77,82,85,3.27,PE,1707995514
271,belmonte,-15.8631,-38.8828,27.97,72,77,2.87,BR,1707995515
272,taman',45.2117,36.7161,5.8,72,81,11.42,RU,1707995516
273,sao joao da barra,-21.6403,-41.0511,25.05,92,100,3.54,BR,1707995517
274,rongelap,11.1635,166.8941,26.13,80,83,9.99,MH,1707995518
275,fort bragg,35.139,-79.006,5.46,83,0,0.0,US,1707995519
276,hadibu,12.65,54.0333,27.76,59,18,6.15,YE,1707995519
277,puerto ayora,-0.7393,-90.3518,26.97,96,75,2.24,EC,1707995520
278,puerto armuelles,8.2833,-82.8667,26.99,74,81,0.45,PA,1707995521
279,kavaratti,10.5669,72.642,28.33,67,23,2.39,IN,1707995523
280,sisimiut,66.9395,-53.6735,-18.9,70,100,1.78,GL,1707995523
281,altay,47.8667,88.1167,-3.48,94,100,2.67,CN,1707995446
282,santa cruz,-17.8,-63.1667,24.03,88,40,2.57,BO,1707995524
283,salinopolis,-0.6136,-47.3561,26.09,89,96,5.0,BR,1707995524
284,dunedin,-45.8742,170.5036,13.22,85,98,0.89,NZ,1707995525
285,the pas,53.8251,-101.2541,-19.99,77,100,4.63,CA,1707995525
286,belyy yar,53.6039,91.3903,-9.06,41,0,8.0,RU,1707995525
287,lata,40.1629,-8.3327,16.01,91,100,2.87,PT,1707995525
288,yoro,15.1333,-87.1333,18.8,96,58,0.49,HN,1707995526
289,trincomalee,8.5711,81.2335,27.34,74,55,7.81,LK,1707995527
290,guinguineo,14.2667,-15.95,31.88,19,100,6.4,SN,1707995296
291,caleta de carquin,-11.0925,-77.6267,23.81,85,54,3.17,PE,1707995528
292,coahuayana de hidalgo,18.7,-103.6583,24.43,57,100,1.64,MX,1707995529
293,bonthe,7.5264,-12.505,31.28,57,64,3.2,SL,1707995530
